,C1,C3,C5,C9,C10,C11,C12,C14,C15,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,P1,P2,P3,P5,P9,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65
s_Halomonas_hamiltonii,31,251,15,30,29,359,17,7,11,29,1312,19,15,646,17,10,14,45,17,4,4,22,25,5,1062,317,11,10,398,13,128,85,83,17,8,12,682,674,0,16,187,0,755,0,0,176,0,0,0,0,0,0,0,1885,194,41,6440,6749,241,2351,3796,1549,0,0,3,5485,0,0,0,0,0,0,0,0,0,6,7879,5291,10922,9274,3118,3198,8119,8597,5000,48,6087,2994,6262,1131,2064,51,146,292,745,197,162,555,296,935,8038,2231,4778,487,268,754,95,160,37,258,887,3772,3995,999,852,3527,1137,558,3093,2452
s_Halomonas_andesensis,5,0,0,3,3,0,0,1,0,0,91,0,0,71,0,0,0,0,2,0,2,2,1,3,79,0,0,0,74,0,82,0,0,0,4,0,286,82,0,8,73,0,409,0,0,40,0,0,0,0,0,0,0,97,23,1,483,241,25,937,616,187,0,0,1,698,0,0,0,0,0,0,0,0,0,0,1228,8,1975,817,4,188,17,0,2,2,9,138,1459,11,877,84,52,0,44,41,50,146,55,0,181,267,461,87,46,152,12,40,9,30,50,2,4,203,0,360,123,77,6,170
s_Shewanella_xiamenensis,0,0,1,102,1,0,0,2,4,3,62,0,0,0,47,0,0,3,1,1,2,2,1,0,138,0,0,0,106,0,42,0,42,0,1,1,0,269,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,20,9,8,1,277,7,2,234,81,0,0,0,315,1,0,1,0,0,0,0,0,0,0,150,2,573,436,6,209,1363,1276,6,0,1,0,655,66,67,9,0,0,0,37,14,68,49,21,341,4,142,15,10,0,1,0,1,29,46,1,1,38,14,210,0,34,229,71
s_Weissella_paramesenteroides,1,0,6,2,2,0,2,6,2,6,0,5,4,1,0,6,0,0,7,8,9,7,2,4,0,0,3,11,0,3,0,0,0,15,8,5,0,0,14,7,0,10,0,12,10,0,11,3,2,4,2,2,2,0,0,8,9,31,0,10,0,0,2,4,2,84,5,4,3,1,2,2,0,2,2,1,6,6,3,5,3,4,5,1,1,0,5,7,7,8,15,0,0,0,0,0,0,0,0,0,4,2,5,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,7,0
s_Atopobium_vaginae,1,156,1,2,6,7053,8,3,11,15,3,11573,43,1,588,7,0,1520,52,12,1,1,730,2,0,266,0,2,166,3,0,0,1957,3,2,1,0,0,4,42,4,7,7338,5,2,0,8,4444,6,1,10,5,1,0,0,0,0,0,0,0,0,2,1,73,23444,2284,9,7,7,5,7,1,1,2848,8,15,0,35,1,0,1,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,5812,0,7,30070,3,0,0,0,0,0,0,0,0,0,0
s_Corynebacterium_falsenii,2,0,0,0,1,0,0,0,0,0,0,0,0,71,37,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,74,44,71,0,0,0,0,66,0,2,50,0,677,0,0,39,1,0,0,0,0,0,0,375,36,23,0,0,62,0,1018,390,0,0,1,926,0,0,0,0,0,0,0,0,0,0,1038,4,2,361,0,1,0,0,0,33,0,0,0,28,155,35,28,55,46,0,42,44,161,69,0,1,0,25,59,170,16,23,8,36,116,0,1,27,19,126,459,0,0,499
s_Shewanella_putrefaciens,0,0,0,2,4,0,0,0,2,4,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,9,18,74,32,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,939,417,0,128,585,944,3,0,1,34,8,22,0,0,14,0,0,0,2,28,5,37,76,0,4,10,20,0,0,0,2,11,27,141,159,16,0,0,83,14,18,62
s_Lactobacillus_iners,26557,2,145,100,81,4426,2048,34,199,80,65,34756,136,354,27031,57,2738,45,32831,157,49,228,50670,78,2,991,614,12176,7,74,83901,3329,76513,62,118,2188,59653,285,62,11406,68,23,45581,892,129,83901,70,80,70,2600,32126,168,1420,65589,6731,64,100,37,15624,93,22,77200,9564,122,16025,26,22,9198,22,21,2927,4458,70,12090,24437,1182,187,8807,8380,14001,36,19,41,21,12324,377,1861,29,145,28,32,15999,225,0,15,14743,6,24,0,281,786,86,29635,0,8,6814,1,42347,0,11,498,58,120,4,3,3082,63,0,73046,26782
s_Halomonas_salifodinae,5,101,6,11,4,218,4,2,0,1,1182,16,6,712,20,1,0,39,12,1,5,0,13,2,855,0,0,8,208,6,15,65,89,2,4,2,412,985,0,5,62,0,0,0,0,75,0,0,0,0,0,0,0,1440,141,30,2981,606,60,1410,2910,726,0,0,0,3043,0,0,0,0,0,0,0,0,0,1,1351,2905,4189,1339,1300,693,3,840,3449,70,977,663,3395,591,849,39,66,71,327,84,184,209,149,509,4868,1624,1456,181,212,412,37,107,23,73,413,42,1872,376,300,543,512,254,317,1911
s_Uruburuella_suis,1,1,0,0,0,0,0,0,18,0,83,0,0,0,0,0,37,8,0,0,0,0,4,0,14,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,64,4,6,1,0,13,1,326,35,0,0,0,39,0,0,0,0,0,0,0,0,0,0,323,0,2,630,1,0,1,0,1,0,4,1,0,1,0,0,12,64,24,0,0,24,87,7,1983,1,0,0,18,26,40,7,4,19,77,0,0,13,0,101,0,13,0,117
